annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;boule_1_second_tirage;boule_2_second_tirage;boule_3_second_tirage;boule_4_second_tirage;boule_5_second_tirage;combinaison_gagnant_second_tirage_en_ordre_croissant;nombre_de_gagnant_au_rang_1_second_tirage;rapport_du_rang1_second_tirage;nombre_de_gagnant_au_rang_2_second_tirage;rapport_du_rang2_second_tirage;nombre_de_gagnant_au_rang_3_second_tirage;rapport_du_rang3_second_tirage;nombre_de_gagnant_au_rang_4_second_tirage;rapport_du_rang4_second_tirage;numero_jokerplus;devise;
20200016;MERCREDI;05/02/2020;06/04/2020;30;21;6;11;29;4;6-11-21-29-30+4;0;3000000;3;60144,7;73;603,2;690;230,2;2510;37,8;23952;14,2;29940;8,8;278935;3,7;331445;2,2;10;20000;A 2234 4423,P 1022 6542,O 2573 2020,O 3713 6561,V 7694 9641,F 0161 4328,U 1973 9255,G 4223 9822,R 6766 7601,F 6917 8881;18;22;28;43;46;18-22-28-43-46;0;108685;165;728,8;7964;38,8;122048;3;4 327 464;eur;
20200015;LUNDI   ;03/02/2020;04/04/2020;49;20;7;31;33;4;7-20-31-33-49+4;0;2000000;1;139630,8;25;1363,2;274;448,6;1265;58;12618;20,9;20007;10,2;185341;4,3;273382;2,2;10;20000;V 8631 5198,I 1917 0735,L 2771 5957,F 1050 0042,E 6958 7553,P 2546 2675,L 5236 8590,F 5853 0856,M 8525 1919,J 6981 0660;6;7;9;33;47;6-7-9-33-47;0;100000;165;493,4;8300;25,2;122969;3;4 535 126;eur;
20200014;SAMEDI  ;01/02/2020;02/04/2020;36;25;22;21;16;9;16-21-22-25-36+9;1;9000000;1;265834,1;53;1224,2;428;546,7;2373;58,9;21258;23,6;36954;10,5;334377;4,6;524895;2,2;10;20000;I 3948 4040,G 3283 7767,L 5310 5154,B 6204 6615,A 2109 6892,N 0004 7770,N 0217 9147,J 4972 3965,D 4359 8507,D 4133 1816;13;36;40;46;48;13-36-40-46-48;1;156216;264;721,8;10619;46,1;154340;3;7 654 737;eur;
20200013;MERCREDI;29/01/2020;30/03/2020;31;30;6;14;45;8;6-14-30-31-45+8;0;8000000;1;183108,8;35;1276,9;353;456,6;1781;54;15244;22,7;26783;10;232505;4,5;385765;2,2;10;20000;H 1571 2980,S 7135 9513,S 4498 3455,C 1779 6835,T 6763 3810,F 0912 6084,I 0875 4220,A 0588 5886,R 3468 3575,Q 3958 4786;9;12;18;25;37;9-12-18-25-37;5;22458;363;256,5;13000;18,4;163141;3;5 416 259;eur;
20200012;LUNDI   ;27/01/2020;28/03/2020;27;12;10;7;41;1;7-10-12-27-41+1;0;7000000;4;40066,9;43;909,7;592;238,3;1771;47,6;22192;13,6;20764;11,3;258658;3,6;212816;2,2;10;20000;B 8928 4888,B 2258 1242,E 8116 0446,C 4129 6440,S 0399 7976,D 4027 0188,T 0152 2914,U 6373 1138,H 3031 1823,U 8215 1138;15;22;32;37;45;15-22-32-37-45;3;33334;151;724,9;6332;44,4;95655;3;0 790 388;eur;
20200011;SAMEDI  ;25/01/2020;26/03/2020;36;17;30;7;11;5;7-11-17-30-36+5;0;6000000;2;117709,6;99;580,4;632;327,9;3729;33,2;28435;15,6;48256;7,1;374292;3,6;552235;2,2;10;20000;T 0085 5780,D 2284 5102,L 5540 9105,U 9536 5462,O 3456 4501,A 0647 3499,U 6482 7767,L 1545 5395,V 8594 0067,M 0581 0749;7;8;15;40;44;7-8-15-40-44;1;145242;272;516,2;12463;28,9;187249;3;0 612 160;eur;
20200010;MERCREDI;22/01/2020;23/03/2020;25;28;42;26;12;10;12-25-26-28-42+10;0;5000000;0;193492,5;27;8915,5;466;365,5;1374;74;19522;18,7;20695;13,7;265680;4,2;266933;2,2;10;20000;G 6118 7866,G 2592 1536,I 3580 7486,A 5396 4628,H 1544 3908,O 9936 9920,L 9323 1560,U 0576 9946,V 8572 8925,A 9036 2653;9;12;35;36;43;9-12-35-36-43;0;107597;158;756,1;7627;40,2;120340;3;2 588 461;eur;
20200009;LUNDI   ;20/01/2020;21/03/2020;13;38;31;30;26;1;13-26-30-31-38+1;0;4000000;0;153733,4;34;5625,1;323;418,9;1154;70;13846;21;16092;14;192990;4,6;220520;2,2;10;20000;P 4995 5061,D 4869 1083,Q 0779 7211,N 9133 5051,I 3701 4844,D 1908 9264,K 4289 1215,E 4027 4660,J 7941 5665,F 6984 8994;4;6;29;31;45;4-6-29-31-45;0;100000;156;611;7123;34,4;109149;3;8 854 187;eur;
20200008;SAMEDI  ;18/01/2020;19/03/2020;12;1;33;13;2;9;1-2-12-13-33+9;0;3000000;0;244954,9;66;4617,3;638;337,9;3104;41,5;30267;15,3;43366;8,3;410164;3,4;462470;2,2;10;20000;K 4437 2121,S 5938 8258,N 0777 2856,R 6169 1681,E 7602 2450,J 7405 2022,R 4278 1959,J 5952 0481,G 7391 0805,N 6314 5234;2;4;5;28;49;2-4-5-28-49;2;71720;362;354,3;15381;21,4;197332;3;2 356 910;eur;
20200007;MERCREDI;15/01/2020;16/03/2020;35;19;8;22;46;2;8-19-22-35-46+2;0;2000000;1;185042,1;41;1101,5;406;401,2;1483;65,6;15926;21,9;21714;12,5;229667;4,6;283471;2,2;10;20000;D 7654 0747,I 1646 6309,A 7029 0264,O 1871 9644,U 1202 4503,A 8055 9966,E 8494 8129,F 1304 8313,V 0300 2018,P 6188 8075;3;6;20;36;41;3-6-20-36-41;2;53170;160;736,2;7670;39,4;119254;3;0 295 199;eur;
